"date","close","volume","open","high","low"
"16:00","170.60","15,868,197","171.65","172.25","168.89"
"2017/10/25","170.6000","15861100.0000","171.9000","172.2500","168.8900"
"2017/10/24","171.8000","12163060.0000","172.3000","173.2400","171.5000"
"2017/10/23","171.2700","13807700.0000","175.2000","175.3400","171.2500"
"2017/10/20","174.9800","12422870.0000","175.5000","175.8800","174.6300"
"2017/10/19","174.5600","13873480.0000","174.9300","176.0300","172.6300"
"2017/10/18","176.0300","12723070.0000","176.6500","176.7400","175.7500"
"2017/10/17","176.1100","15926670.0000","174.7100","176.1300","174.3600"
"2017/10/16","174.5200","11455560.0000","174.4900","175.0000","174.0600"
"2017/10/13","173.7400","13601140.0000","173.4500","174.6500","173.2000"
"2017/10/12","172.5500","10461960.0000","172.6100","173.8500","172.2900"
"2017/10/11","172.7400","11251830.0000","171.9500","172.7800","171.4000"
"2017/10/10","171.5900","11330830.0000","173.0000","173.2000","170.8000"
"2017/10/09","172.5000","14552670.0000","172.7000","174.8800","172.0000"
"2017/10/06","172.2300","12711640.0000","170.2500","172.3700","169.7500"
"2017/10/05","171.2400","14453310.0000","169.1800","171.3100","168.6000"
"2017/10/04","168.4200","11926980.0000","169.8300","170.6700","168.2900"
"2017/10/03","169.9600","8177141.0000","169.3000","170.7300","169.2000"
"2017/10/02","169.4700","13350740.0000","171.3900","171.8700","168.7500"
"2017/09/29","170.8700","15274870.0000","168.8300","171.6600","168.8100"
"2017/09/28","168.7300","12157690.0000","167.9400","169.0696","167.1600"
"2017/09/27","167.6800","19131680.0000","165.9000","168.3400","165.5700"
"2017/09/26","164.2100","23083780.0000","164.5000","165.5000","162.7800"
"2017/09/25","162.8700","41207930.0000","169.2400","169.3000","161.5600"
